,REA_start_UTC,REA_end_UTC,d14C_meas_up_ppm,d14C_meas_up_err_ppm,d14C_meas_down_ppm,d14C_meas_down_err_ppm,CO2_meas_up_ppm,CO2_meas_up_err_ppm,CO2_meas_down_ppm,CO2_meas_down_err_ppm,DCO2_meas_ppm,DCO2_meas_err_ppm,DCO2_MGA_ppm,DCO2_IRGA_ppm,DCO2_lag100ms_MGA_ppm,DCO2_lag100ms_IRGA_ppm,DCO2_lag200ms_MGA_ppm,DCO2_lag200ms_IRGA_ppm,DCO2_lag300ms_MGA_ppm,DCO2_lag300ms_IRGA_ppm,DCO2_lag400ms_MGA_ppm,DCO2_lag400ms_IRGA_ppm,DCO2_lag500ms_MGA_ppm,DCO2_lag500ms_IRGA_ppm,DCO2_lag600ms_MGA_ppm,DCO2_lag600ms_IRGA_ppm,DCO2_lag700ms_MGA_ppm,DCO2_lag700ms_IRGA_ppm,DCO2_lag800ms_MGA_ppm,DCO2_lag800ms_IRGA_ppm,DCO2_dtrinse-4s_MGA_ppm,DCO2_dtrinse-4s_IRGA_ppm,DCO2_dtrinse-2s_MGA_ppm,DCO2_dtrinse-2s_IRGA_ppm,DCO2_dtrinse2s_MGA_ppm,DCO2_dtrinse2s_IRGA_ppm,DCO2_dtrinse4s_MGA_ppm,DCO2_dtrinse4s_IRGA_ppm,std(DCO2_var103)_ppm,std(CO2)_MGA_ppm,std(CO2)_IRGA_ppm,Comment
382,2022-07-14_08-33-00.000000,2022-07-14_08-33-00.000000,-14.221539492358271,2.579710838142394,-14.221539492358271,2.579710838142394,445.2731607735304,0.0384131072924282,441.46562076341695,0.0098412352331858,3.807540010113428,0.039653710075786,,3.408695510665382,,3.407081098997935,,3.404286065947872,,3.4011145311042696,,3.3950636955673303,,3.389342042470844,,3.3823618639515303,,3.375163511387086,,3.366256755026768,,3.371606101477824,,3.3899006223209653,,3.409574191493334,,3.3814611986758223,0.045990556509068733,,4.649693615361058,MGA7 not yet installed
383,2022-07-14_09-45-00.000000,2022-07-14_09-45-00.000000,,,,,436.777464905136,0.0433112689520369,433.36659937731145,0.027151596333814,3.410865527824569,0.0511182472480234,,3.296457232258092,,3.295470659581383,,3.2919813264851427,,3.287616508085023,,3.283560644903276,,3.2791979166382816,,3.274308566826619,,3.2709977501305616,,3.2684517073947177,,3.3235997631686587,,3.307449153440814,,3.302427407914479,,3.307214804997386,0.03604593812542057,,6.0265243467481255,"MGA7 not yet installed, no 14C data (sample lost during graphitization), stationarity test failed"
392,2022-07-14_13-05-00.000000,2022-07-14_13-05-00.000000,-14.202195692255447,2.468843808462131,-14.202195692255447,2.468843808462131,419.06868403136974,0.0424202828813971,418.86314863318427,0.0126258465684509,0.205535398185475,0.0442593764224917,,0.0683300524102605,,0.0668860453774868,,0.0632423362573035,,0.0603124019102665,,0.0582762199432522,,0.0564908551677376,,0.0541196928154477,,0.0521400270931167,,0.0503644859189194,,0.0664272906858514,,0.0673152591152188,,0.0668768488529281,,0.0655931577565525,0.0029986717210343035,,0.4075678391733222,MGA7 not yet installed
399,2022-07-14_23-20-00.000000,2022-07-14_23-20-00.000000,-21.323541273787665,2.306870993049636,-21.323541273787665,2.306870993049636,427.2509461296702,0.0160115866880918,426.843938505061,0.0104458969992181,0.4070076246092071,0.0191177318840011,,0.4018768048974266,,0.4016926879684774,,0.3985114912504741,,0.3961000404852939,,0.3936796348158395,,0.3920847081329839,,0.390632247294377,,0.3873905583399732,,0.3854367740512998,,0.4083042275191815,,0.4050996026949747,,0.4022657378393433,,0.402728392306642,0.01348355340560325,,2.0021006535808312,MGA7 not yet installed
402,2022-07-15_04-15-00.000000,2022-07-15_04-15-00.000000,-13.68045110553695,1.971472853859388,-13.68045110553695,1.971472853859388,431.5909247296345,0.0258969963472519,430.71171878661534,0.02457306477358,0.8792059430191443,0.0356999990500859,,0.8990755126001773,,0.8991846108675645,,0.8977365141618066,,0.8950372359169592,,0.8919087829364685,,0.8891601994977236,,0.886458308724059,,0.8829749306597705,,0.8798695491588546,,0.9073874947744685,,0.903696692326264,,0.9023626847636024,,0.9045268429714496,0.009486274346888401,,1.4393999814198868,MGA7 not yet installed
403,2022-07-15_05-30-00.000000,2022-07-15_05-30-00.000000,-19.329071921199706,1.8948177788614595,-19.329071921199706,1.8948177788614595,432.7647180070538,0.0162046366629886,432.4685143776076,0.0178523736890465,0.2962036294461541,0.0241101118975593,,0.2508278991767838,,0.2515911784921059,,0.2505210067707253,,0.2495060007304914,,0.2483776316751118,,0.2475458602463618,,0.2445419473846186,,0.2436022577194307,,0.2425053350012262,,0.2502990018857076,,0.2509503378807949,,0.2507513847934888,,0.2509570130615657,0.002421677638426253,,0.7596115538070105,MGA7 not yet installed
407,2022-07-15_10-28-00.000000,2022-07-15_10-28-00.000000,-16.532816230533932,2.257131676032293,-16.532816230533932,2.257131676032293,418.742776181235,0.0177333492056136,418.49480201935125,0.0286533330542727,0.2479741618837465,0.0336969608298332,,-0.2088176191435877,,-0.2093803612783631,,-0.2114336451454619,,-0.2132703990952222,,-0.2148771993193463,,-0.2168543142888666,,-0.2168613813004754,,-0.2187476598758735,,-0.2205493675816114,,-0.2091884902006882,,-0.2088551665644331,,-0.2079854122417828,,-0.2073119994079775,0.006324495452996567,,1.0722973194418337,MGA7 not yet installed
411,2022-07-15_14-32-00.000000,2022-07-15_14-32-00.000000,-11.933307920931169,2.1199307746444207,-11.933307920931169,2.1199307746444207,414.80671920277473,0.0142791962193714,414.289792647356,0.0224588158199722,0.5169265554187064,0.0266137906489613,,0.2177321524396234,,0.2157784113995831,,0.2123400932433128,,0.2090723696786653,,0.2059246021944432,,0.2027132698745504,,0.1995631337111376,,0.1968001002372261,,0.1944942184381375,,0.2174174737264707,,0.2173924702096883,,0.2179093889181445,,0.2182010626446526,0.005774552710153924,,0.584018290172354,MGA7 not yet installed
412,2022-07-16_14-30-01.667000,2022-07-16_14-30-01.667000,-12.35180343919351,2.0023190119407515,-12.35180343919351,2.0023190119407515,410.2798117618376,0.0157344703635123,409.889239579948,0.0218868976832845,0.3905721818895813,0.02695570158276,,0.2340726888762674,,0.2333280875691912,,0.2327746742859631,,0.231634983899255,,0.2302700920799338,,0.2286821474900193,,0.2274900707938627,,0.2265158624023797,,0.2254054806827525,,0.2339307973246036,,0.2339802531377017,,0.2340907781043029,,0.2342244843125058,0.0011280461692412386,,0.5416419615902347,MGA7 not yet installed
414,2022-07-16_16-27-06.315000,2022-07-16_16-27-06.315000,-16.499905355152332,1.948508449862744,-16.499905355152332,1.948508449862744,410.35260897753056,0.0385300860668108,409.69274292067473,0.018542154998635,0.659866056855833,0.0427595491593311,,0.4581592276473429,,0.4576205096717558,,0.4550453848103757,,0.4516321660335052,,0.4494638946767963,,0.4444227785028829,,0.4454713813995568,,0.4421907135151173,,0.4411130314455818,,0.4586464967295569,,0.4583607606642772,,0.4583879556896022,,0.4588323990518006,0.0019111820956598522,,0.5619409710745319,MGA7 not yet installed
